Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BAT_BAT-HLD-007-SMT-TR",87.150000,-8.000000,180.000000,top
"C1","100nF","C_0402_1005Metric",165.176291,2.869798,90.000000,top
"C2","10µF","C_0805_2012Metric",85.500000,64.750000,180.000000,top
"C3","100µF","CP_EIA-7343-31_Kemet-D",87.650000,56.637500,-90.000000,top
"C4","10µF","C_0805_2012Metric",188.226291,0.008389,90.000000,top
"C5","10µF","C_0805_2012Metric",91.050000,19.000000,180.000000,top
"C6","10µF","C_0805_2012Metric",190.226291,0.008389,90.000000,top
"C7","10µF","C_0805_2012Metric",83.550000,55.075000,0.000000,top
"C8","10µF","C_0805_2012Metric",83.550000,57.475000,0.000000,top
"C9","100nF","C_0402_1005Metric",88.980000,63.750000,0.000000,top
"C10","100nF","C_0402_1005Metric",189.500000,-2.980000,-90.000000,top
"C11","4.7nF","C_0402_1005Metric",187.500000,-3.020000,90.000000,top
"C12","100nF","C_0402_1005Metric",141.076291,-8.550202,90.000000,top
"C13","100nF","C_0402_1005Metric",146.326291,-7.650202,90.000000,top
"C14","10µF","C_0805_2012Metric",184.226291,3.508389,-90.000000,top
"C15","10µF","C_0805_2012Metric",190.226291,3.508389,-90.000000,top
"C16","10µF","C_0805_2012Metric",188.226291,3.508389,-90.000000,top
"C17","10µF","C_0805_2012Metric",186.226291,3.495889,-90.000000,top
"C18","100nF","C_0402_1005Metric",88.980000,61.750000,0.000000,top
"C19","100nF","C_0402_1005Metric",186.750000,6.730000,90.000000,top
"C20","39µF","CP_Elec_8x6.7",97.750000,57.932110,-90.000000,top
"C21","10µF","C_0805_2012Metric",103.250000,53.800000,-90.000000,top
"C22","1µF","C_0402_1005Metric",105.250000,52.770000,-90.000000,top
"C23","4.7µF","C_1206_3216Metric",109.750000,46.275000,-90.000000,top
"C24","100nF","C_0402_1005Metric",111.983945,55.382110,90.000000,top
"C25","100nF","C_0402_1005Metric",111.183945,49.607110,-90.000000,top
"C26","56µF","CP_Elec_5x5.9",93.750000,49.300000,90.000000,top
"C27","33µF","C_1206_3216Metric",100.500000,49.775000,90.000000,top
"C28","33µF","C_1206_3216Metric",103.000000,49.775000,90.000000,top
